product_id,rgb hex,ryb hex,percentage of clothes,hue_level
1,#202020,#202020,100.0,13
2,#000000,#000000,100.0,13
3,#FCFCFC,#fcfcfc,100.0,13
4,#BEC0BB,#bbc0bd,100.0,13
5,#000000,#000000,100.0,13
6,#000000,#000000,100.0,13
7,#BEBFB6,#b6bfb7,98.9,13
8,#BEBFB6,#b6bfb7,98.9,13
9,#BCBEB3,#b3beb5,97.8,13
10,#FCFCFC,#fcfcfc,100.0,13
11,#202020,#202020,100.0,13
12,#2B2E3D,#2b2d3d,100.0,10
13,#F8F8F6,#f6f8f6,100.0,13
14,#535444,#445445,100.0,5
15,#BCBEB3,#b3beb5,97.8,13
16,#C4C5C0,#c0c5c1,99.5,13
17,#F9F9F9,#f9f9f9,100.0,13
18,#F9F9F9,#f9f9f9,100.0,13
19,#F9F9F9,#f9f9f9,100.0,13
20,#182432,#182032,100.0,13
21,#4D524E,#4d5152,100.0,13
22,#182432,#182032,100.0,13
23,#F8F8F6,#f6f8f6,100.0,13
24,#000000,#000000,100.0,13
25,#202020,#202020,100.0,13
26,#555756,#555657,100.0,13
27,#2E2F2A,#2a2f2b,100.0,13
28,#202020,#202020,100.0,13
29,#18252E,#18202e,100.0,13
30,#C0C1B8,#b8c1b9,99.7,13
31,#555756,#555657,100.0,13
32,#202020,#202020,100.0,13
33,#F8F8F6,#f6f8f6,100.0,13
34,#202020,#202020,100.0,13
35,#2B2E3D,#2b2d3d,100.0,10
36,#202020,#202020,100.0,13
37,#F8F8F6,#f6f8f6,100.0,13
38,#18222B,#181e2b,29.0,13
39,#2B2E3D,#2b2d3d,100.0,10
40,#434947,#434649,100.0,8
41,#202020,#202020,100.0,13
42,#648D9F,#647c9f,100.0,9
43,#2E2E2C,#2c2e2c,100.0,13
44,#202020,#202020,100.0,13
45,#71736E,#6e7370,100.0,13
46,#525655,#525456,100.0,13
47,#262B3E,#262a3e,100.0,10
48,#747770,#707773,100.0,13
49,#BCBEB3,#b3beb5,97.8,13
50,#FCFCFC,#fcfcfc,100.0,13
51,#2D3130,#2d2f31,100.0,13
52,-1
53,#000000,#000000,100.0,13
54,#FEFEFE,#fefefe,100.0,13
55,#434D5C,#434a5c,59.6,9
56,#BCBEB9,#b9bebb,98.8,13
57,#202020,#202020,100.0,13
58,#FCFCFC,#fcfcfc,100.0,13
59,#A4A6A1,#a1a6a3,3.6,13
60,#1F2734,#1f2434,100.0,9
61,#F8F8F6,#f6f8f6,100.0,13
62,#A5A7A1,#a1a7a3,6.1,13
63,#A5A7A1,#a1a7a3,6.1,13
64,#565656,#565656,100.0,13
65,#202020,#202020,100.0,13
66,#F8F8F6,#f6f8f6,100.0,13
67,#A5A7A1,#a1a7a3,6.1,13
68,#F8F8F6,#f6f8f6,100.0,13
69,#2E2E2C,#2c2e2c,100.0,13
70,#202020,#202020,100.0,13
71,#FCFCFC,#fcfcfc,100.0,13
72,#BCBEB3,#b3beb5,97.8,13
73,#BCBEB3,#b3beb5,97.8,13
74,#7C817C,#7c8181,45.7,13
75,#BCBEB3,#b3beb5,97.8,13
76,#FCFCFC,#fcfcfc,100.0,13
77,#000000,#000000,100.0,13
78,#FCFCFC,#fcfcfc,100.0,13
79,#202020,#202020,100.0,13
80,#2B2E3D,#2b2d3d,100.0,10
81,#202020,#202020,100.0,13
82,#283C57,#283657,100.0,9
83,#D0B04B,#75d04b,100.0,4
84,#BEC0B6,#b6c0b8,99.6,13
85,#BEC0B6,#b6c0b8,99.6,13
86,#000000,#000000,100.0,13
87,#393C35,#353c38,49.0,6
88,#000000,#000000,100.0,13
89,#BEC0B6,#b6c0b8,99.6,13
90,#314163,#313d63,100.0,10
91,#BEC0B6,#b6c0b8,99.6,13
92,#202020,#202020,100.0,13
93,#BCBEB9,#b9bebb,97.8,13
94,#202020,#202020,100.0,13
95,#4B4F3E,#3e4f42,100.0,5
96,#C1C2BC,#bcc2bd,96.5,13
97,#C4C6BF,#bfc6c1,97.9,13
98,#58627D,#585f7d,100.0,10
99,#C4C6BF,#bfc6c1,97.9,13
100,#4D524E,#4d5152,100.0,13
101,#182432,#182032,100.0,13
102,#3F443E,#3e4443,100.0,6
103,#202020,#202020,100.0,13
104,#B9BBB6,#b6bbb8,98.0,13
105,#202020,#202020,100.0,13
106,#F8F8F6,#f6f8f6,100.0,13
107,#F8F8F6,#f6f8f6,100.0,13
108,#787974,#747975,100.0,13
109,#2B2E3D,#2b2d3d,100.0,10
110,#434949,#434649,100.0,8
111,#4E5140,#405143,100.0,5
112,#4F5241,#415244,100.0,5
113,#202020,#202020,100.0,13
114,#BCBEB9,#b9bebb,98.8,13
115,#202020,#202020,100.0,13
116,#F8F8F6,#f6f8f6,100.0,13
117,#2B2D3C,#2b2c3c,100.0,10
118,#495139,#395141,100.0,6
119,#482430,#482430,100.0,1
120,#C0745A,#c07c5a,100.0,2
121,#D0B975,#93d075,100.0,4
122,#93BFB0,#93adbf,100.0,8
123,#4A6C9B,#4a619b,92.7,9
124,#CC595E,#cc595e,100.0,1
125,#FCFCFC,#fcfcfc,100.0,13
126,#A6A7A2,#a2a7a3,6.1,13
127,#585858,#585858,26.5,13
128,#202020,#202020,100.0,13
129,#37425F,#373f5f,84.1,10
130,#284E39,#28424e,100.0,7
131,#921827,#921827,100.0,1
132,#A78F6D,#95a76d,100.0,3
133,#94BFCF,#94accf,100.0,9
134,#F3AFB0,#f3afb0,92.3,1
135,#FCFCFC,#fcfcfc,100.0,13
136,#A6A7A2,#a2a7a3,6.1,13
137,#585858,#585858,26.5,13
138,#202020,#202020,100.0,13
139,#FCFCFC,#fcfcfc,100.0,13
140,#F9F9F9,#f9f9f9,100.0,13
141,#000000,#000000,100.0,13
142,#324683,#324283,100.0,10
143,#B3B4AB,#abb4ac,35.9,13
144,#FCFCFC,#fcfcfc,100.0,13
145,#111822,#111522,100.0,13
146,#000000,#000000,100.0,13
147,#FFFFFF,#ffffff,33.3,13
148,#414530,#304534,24.3,5
149,#000000,#000000,23.4,13
150,#2E3C5A,#2e385a,25.9,10
151,#E3E4DD,#dde4de,28.1,13
152,#7A7B72,#727b73,16.7,5
153,#2E4E86,#2e4586,16.7,9
154,#E2E2DD,#dde2dd,16.7,13
155,#FAFAFA,#fafafa,43.8,13
156,#304B7B,#30437b,39.4,9
157,#C8C4A7,#abc8a7,35.3,4
158,#292837,#292837,24.4,10
159,#252229,#252229,100.0,13
160,#FCFCFC,#fcfcfc,100.0,13
161,#000000,#000000,100.0,13
162,#8B9282,#829289,100.0,6
163,#2B3244,#2b3044,100.0,10
164,#AFB0A9,#a9b0aa,26.6,13
165,#000000,#000000,100.0,13
166,#4E4F41,#414f42,100.0,5
167,#FCFCFC,#fcfcfc,100.0,13
168,#A2A59E,#9ea5a1,12.6,13
169,#2A272E,#2a272e,100.0,13
170,#5B5C4A,#4a5c4b,100.0,5
171,#9F694D,#9f774d,100.0,2
172,#5A6D8B,#5a678b,100.0,9
173,#FCFCFC,#fcfcfc,100.0,13
174,#CECECC,#cccecc,100.0,13
175,#000000,#000000,100.0,13
176,#252531,#252531,100.0,13
177,#F9F9F9,#f9f9f9,100.0,13
178,#A4A5A0,#a0a5a1,45.8,13
179,#000000,#000000,100.0,13
180,#2B2B2A,#2a2b2a,27.4,13
181,#F9F9F9,#f9f9f9,37.5,13
182,#4E5043,#435045,100.0,5
183,#1E2430,#1e2230,100.0,13
184,#8B2D3D,#8b2d3d,100.0,1
185,#6C788B,#6c748b,55.5,9
186,#FCFCFC,#fcfcfc,100.0,13
187,#A4A59F,#9fa5a0,5.8,13
188,#3A3A3A,#3a3a3a,16.6,13
189,#000000,#000000,100.0,13
190,#6A2333,#6a2333,100.0,1
191,#86684C,#86824c,100.0,3
192,#406F67,#40596f,100.0,8
193,#4D6A8E,#4d618e,100.0,9
194,#EA8764,#ea9364,100.0,2
195,#FDF5A5,#adfda5,100.0,5
196,#D4CDC3,#ced4c3,100.0,3
197,#2B2D3C,#2b2c3c,100.0,10
198,#FCFCFC,#fcfcfc,100.0,13
199,#A6A7A2,#a2a7a3,6.1,13
200,#2A2A2A,#2a2a2a,100.0,13
201,#202020,#202020,100.0,13
202,#FAFAFA,#fafafa,100.0,13
203,#000000,#000000,100.0,13
204,#FFFFFD,#fdfffd,12.5,13
205,#2A3449,#2a3149,31.4,10
206,#384C6E,#38466e,66.7,9
207,#565750,#505751,29.2,5
208,#1F456A,#1f386a,100.0,9
209,#92918D,#8e928d,18.4,13
210,#32ADA8,#3270ad,100.0,8
211,#000000,#000000,100.0,13
212,#6F2A2A,#6f2a2a,97.5,1
213,#344572,#344172,96.5,10
214,#474745,#454745,26.1,13
215,#FAFAFA,#fafafa,100.0,13
216,#F7F7F7,#f7f7f7,33.3,13
217,#202123,#202023,41.7,13
218,#B4EE4E,#4eee88,100.0,6
219,#1E1E1E,#1e1e1e,11.1,13
220,#26263E,#26263e,100.0,10
221,#18222B,#181e2b,100.0,13
222,#BFC2BB,#bbc2be,100.0,13
223,#F5F6F0,#f0f6f1,100.0,13
224,#4E4E4B,#4b4e4b,13.1,13
225,#000000,#000000,100.0,13
226,#F5F6F0,#f0f6f1,100.0,13
227,#F9F9F9,#f9f9f9,100.0,13
228,#F9F9F9,#f9f9f9,100.0,13
229,#FAFAFA,#fafafa,100.0,13
230,#3C4737,#374742,100.0,6
231,#FAFAFA,#fafafa,100.0,13
232,#A6A6A4,#a4a6a4,10.2,13
233,#FAFAFA,#fafafa,100.0,13
234,#FAFAFA,#fafafa,100.0,13
235,#FCFCFC,#fcfcfc,100.0,13
236,#18191B,#18181b,100.0,13
237,#000000,#000000,100.0,13
238,#212435,#212335,100.0,10
239,#000000,#000000,100.0,13
240,#3D423F,#3d4042,45.8,7
241,#6C6C6C,#6c6c6c,99.7,13
242,#000000,#000000,100.0,13
243,#F5F6F0,#f0f6f1,100.0,13
244,#FCFCFC,#fcfcfc,100.0,13
245,#2F3835,#2f3438,58.3,8
246,#FFFFFF,#ffffff,33.3,13
247,#31333F,#31323f,41.7,10
248,#F9F9F9,#f9f9f9,100.0,13
249,#AAA19C,#aaa39c,100.0,2
250,#353338,#353338,100.0,11
251,#000000,#000000,100.0,13
252,#F9F9F9,#f9f9f9,100.0,13
253,#928A87,#928b87,100.0,2
254,#000000,#000000,100.0,13
255,#C1CFD8,#c1c9d8,100.0,9
256,#FCFCFC,#fcfcfc,100.0,13
257,#3D4558,#3d4358,100.0,10
258,#941F32,#941f32,100.0,1
259,#316D89,#315489,100.0,9
260,#F9EE9F,#abf99f,100.0,4
261,#FCFCFC,#fcfcfc,100.0,13
262,#9EA09B,#9ba09d,27.7,13
263,#2B313D,#2b2f3d,100.0,10
264,#010101,#010101,28.0,13
265,#BDC1BC,#bcc1c0,23.7,13
266,#323365,#323265,54.2,10
267,#2F324D,#2f314d,54.2,10
268,#55777A,#55667a,27.7,8
269,#2B334A,#2b314a,47.9,10
270,#2D4978,#2d4178,35.4,9
271,#292E3C,#292c3c,53.1,10
272,#FBFEFE,#fbfcfe,13.7,13
273,#C95D58,#c95d58,33.3,1
274,#F8F8F8,#f8f8f8,46.1,13
275,#F6F6F6,#f6f6f6,24.3,13
276,#92192A,#92192a,100.0,1
