type_id,name,price,link,gender_id,category_of_gender_id,type_of_category_id
0,迪士尼系列印花T恤（ 黑色 ）,https://s3.lativ.com.tw/i/35199/35199011/3519901_500.jpg,0,0,0,0
1,迪士尼系列印花T恤（ 黑色 ）,https://s3.lativ.com.tw/i/34704/34704011/3470401_500.jpg,0,0,0,1
2,迪士尼系列印花T恤（ 白色 ）,https://s3.lativ.com.tw/i/34393/34393011/3439301_500.jpg,0,0,0,2
2,迪士尼系列印花T恤（ 淺麻灰 ）,https://s3.lativ.com.tw/i/34393/34393021/3439302_500.jpg,0,0,0,2
2,迪士尼系列印花T恤（ 黑色 ）,https://s3.lativ.com.tw/i/34393/34393031/3439303_500.jpg,0,0,0,2
3,迪士尼系列印花T恤（ 黑色 ）,https://s3.lativ.com.tw/i/34700/34700011/3470001_500.jpg,0,0,0,3
4,迪士尼系列羅紋配色印花T恤（ 淺麻灰 ）,https://s3.lativ.com.tw/i/34540/34540011/3454001_500.jpg,0,0,0,4
5,迪士尼系列羅紋配色T恤（ 淺麻灰 ）,https://s3.lativ.com.tw/i/34325/34325011/3432501_500.jpg,0,0,0,5
6,迪士尼系列印花T恤（ 淺麻灰 ）,https://s3.lativ.com.tw/i/34534/34534011/3453401_500.jpg,0,0,0,6
6,迪士尼系列印花T恤（ 白色 ）,https://s3.lativ.com.tw/i/34534/34534021/3453402_500.jpg,0,0,0,6
7,迪士尼系列印花T恤（ 黑色 ）,https://s3.lativ.com.tw/i/34537/34537011/3453701_500.jpg,0,0,0,7
8,迪士尼系列口袋印花T恤（ 藏青 ）,https://s3.lativ.com.tw/i/34539/34539011/3453901_500.jpg,0,0,0,8
9,迪士尼系列印花T恤（ 白色 ）,https://s3.lativ.com.tw/i/34538/34538011/3453801_500.jpg,0,0,0,9
10,迪士尼系列印花T恤（ 軍綠 ）,https://s3.lativ.com.tw/i/34324/34324011/3432401_500.jpg,0,0,0,10
11,迪士尼系列印花T恤（ 淺麻灰 ）,https://s3.lativ.com.tw/i/34326/34326011/3432601_500.jpg,0,0,0,11
12,迪士尼系列配色毛圈圓領衫（ 淺麻灰 ）,https://s3.lativ.com.tw/i/32621/32621011/3262101_500.jpg,0,0,0,12
13,迪士尼系列印花T（ 白色 ）,https://s3.lativ.com.tw/i/30559/30559011/3055901_500.jpg,0,0,0,13
14,迪士尼系列印花T（ 白色 ）,https://s3.lativ.com.tw/i/30541/30541011/3054101_500.jpg,0,0,0,14
15,迪士尼系列印花T（ 白色 ）,https://s3.lativ.com.tw/i/30540/30540011/3054001_500.jpg,0,0,0,15
16,皮克斯系列印花T恤（ 藏青 ）,https://s3.lativ.com.tw/i/34329/34329011/3432901_500.jpg,0,0,0,16
17,皮克斯系列印花T恤（ 深灰 ）,https://s3.lativ.com.tw/i/34328/34328011/3432801_500.jpg,0,0,0,17
18,皮克斯系列印花T恤（ 藏青 ）,https://s3.lativ.com.tw/i/34327/34327011/3432701_500.jpg,0,0,0,18
19,STAR WARS系列印花T恤（ 白色 ）,https://s3.lativ.com.tw/i/34575/34575011/3457501_500.jpg,0,0,0,19
20,STAR WARS系列印花T恤（ 黑色 ）,https://s3.lativ.com.tw/i/34555/34555011/3455501_500.jpg,0,0,0,20
21,STAR WARS系列印花T恤（ 黑色 ）,https://s3.lativ.com.tw/i/34415/34415011/3441501_500.jpg,0,0,0,21
22,STAR WARS系列印花T恤（ 深灰 ）,https://s3.lativ.com.tw/i/34342/34342011/3434201_500.jpg,0,0,0,22
23,STAR WARS系列印花T恤（ 灰黑 ）,https://s3.lativ.com.tw/i/34414/34414011/3441401_500.jpg,0,0,0,23
24,STAR WARS系列印花T恤（ 黑色 ）,https://s3.lativ.com.tw/i/34413/34413011/3441301_500.jpg,0,0,0,24
25,STAR WARS系列印花T恤（ 藏青 ）,https://s3.lativ.com.tw/i/34416/34416011/3441601_500.jpg,0,0,0,25
26,STAR WARS系列印花T恤（ 淺麻灰 ）,https://s3.lativ.com.tw/i/34343/34343011/3434301_500.jpg,0,0,0,26
27,STAR WARS系列印花T恤（ 深灰 ）,https://s3.lativ.com.tw/i/35201/35201011/3520101_500.jpg,0,0,0,27
28,STAR WARS系列印花T恤（ 黑色 ）,https://s3.lativ.com.tw/i/34703/34703011/3470301_500.jpg,0,0,0,28
29,STAR WARS系列印花T恤（ 白色 ）,https://s3.lativ.com.tw/i/34702/34702011/3470201_500.jpg,0,0,0,29
30,漫威系列印花T恤（ 黑色 ）,https://s3.lativ.com.tw/i/34443/34443011/3444301_500.jpg,0,0,0,30
31,漫威系列印花T恤（ 藏青 ）,https://s3.lativ.com.tw/i/34444/34444011/3444401_500.jpg,0,0,0,31
32,漫威系列羅紋配色印花T恤（ 黑色 ）,https://s3.lativ.com.tw/i/34446/34446011/3444601_500.jpg,0,0,0,32
33,漫威系列羅紋配色印花T恤（ 白色 ）,https://s3.lativ.com.tw/i/34350/34350011/3435001_500.jpg,0,0,0,33
