virtual_product_id,color_chip_link
0,http://im.uniqlo.com/images/tw/uq/pc/goods/406535/chip/47_406535.gif
1,-1
2,-1
3,-1
4,http://im.uniqlo.com/images/tw/uq/pc/goods/405948/chip/35_405948.gif
5,http://im.uniqlo.com/images/tw/uq/pc/goods/404002/chip/32_404002.gif
6,-1
7,http://im.uniqlo.com/images/tw/uq/pc/goods/405947/chip/68_405947.gif
8,-1
9,-1
10,-1
11,-1
12,-1
13,http://im.uniqlo.com/images/tw/uq/pc/goods/400502/chip/16_400502.gif
14,http://im.uniqlo.com/images/tw/uq/pc/goods/403996/chip/69_403996.gif
15,-1
16,-1
17,-1
18,http://im.uniqlo.com/images/tw/uq/pc/goods/400502/chip/16_400502.gif
19,http://im.uniqlo.com/images/tw/uq/pc/goods/404214/chip/45_404214.gif
20,-1
21,http://im.uniqlo.com/images/tw/uq/pc/goods/403971/chip/57_403971.gif
22,http://im.uniqlo.com/images/tw/uq/pc/goods/404354/chip/69_404354.gif
23,http://im.uniqlo.com/images/tw/uq/pc/goods/404163/chip/13_404163.gif
24,http://im.uniqlo.com/images/tw/uq/pc/goods/406147/chip/00_406147.gif
25,http://im.uniqlo.com/images/tw/uq/pc/goods/404354/chip/69_404354.gif
26,-1
27,http://im.uniqlo.com/images/tw/uq/pc/goods/404167/chip/67_404167.gif
28,-1
29,-1
30,-1
31,http://im.uniqlo.com/images/tw/uq/pc/goods/407638/chip/08_407638.gif
32,http://im.uniqlo.com/images/tw/uq/pc/goods/406707/chip/08_406707.gif
33,-1
34,http://im.uniqlo.com/images/tw/uq/pc/goods/404361/chip/24_404361.gif
35,http://im.uniqlo.com/images/tw/uq/pc/goods/407638/chip/03_407638.gif
36,http://im.uniqlo.com/images/tw/uq/pc/goods/406707/chip/03_406707.gif
37,-1
38,-1
39,http://im.uniqlo.com/images/tw/uq/pc/goods/407638/chip/03_407638.gif
40,http://im.uniqlo.com/images/tw/uq/pc/goods/406707/chip/03_406707.gif
41,-1
42,-1
43,-1
44,-1
45,http://im.uniqlo.com/images/tw/uq/pc/goods/403996/chip/69_403996.gif
46,-1
47,http://im.uniqlo.com/images/tw/uq/pc/goods/404167/chip/00_404167.gif
48,http://im.uniqlo.com/images/tw/uq/pc/goods/406148/chip/00_406148.gif
49,http://im.uniqlo.com/images/tw/uq/pc/goods/405408/chip/05_405408.gif
50,-1
51,http://im.uniqlo.com/images/tw/uq/pc/goods/404361/chip/24_404361.gif
52,-1
53,http://im.uniqlo.com/images/tw/uq/pc/goods/404361/chip/52_404361.gif
54,http://im.uniqlo.com/images/tw/uq/pc/goods/405637/chip/56_405637.gif
55,http://im.uniqlo.com/images/tw/uq/pc/goods/404354/chip/69_404354.gif
56,http://im.uniqlo.com/images/tw/uq/pc/goods/405194/chip/32_405194.gif
57,http://im.uniqlo.com/images/tw/uq/pc/goods/404169/chip/00_404169.gif
