outfit_id,product_id
0,719
0,958
1,874
1,716
1,586
2,167
2,786
3,966
4,59
5,935
7,790
8,420
8,471
9,327
10,412
10,472
10,955
11,858
11,264
12,417
12,900
13,36
13,790
14,0
15,706
15,103
16,27
16,752
17,607
18,99
18,604
18,777
19,343
20,414
20,471
21,59
21,343
21,751
22,433
22,471
23,708
25,703
25,817
26,32
27,32
29,721
30,430
30,471
31,761
32,429
33,182
35,52
35,399
36,237
38,24
39,237
40,882
40,452
40,738
41,36
41,790
43,708
45,107
46,880
46,370
47,18
48,189
49,545
49,929
50,103
51,826
51,27
52,457
52,882
53,840
54,120
54,761
55,827
55,699
55,857
57,699
57,121
57,759
58,89
61,706
61,103
63,59
63,343
63,751
64,182
65,699
65,121
65,759
67,120
67,761
68,123
68,603
68,751
69,101
69,107
69,790
70,721
70,123
71,602
71,882
72,436
73,701
73,123
73,879
74,733
74,103
74,858
75,436
76,182
77,879
77,708
78,27
79,254
80,881
80,692
82,605
83,882
84,424
85,312
86,721
87,790
90,724
90,902
90,343
91,575
91,964
92,931
93,350
93,827
93,854
94,124
94,902
95,352
95,879
96,695
96,0
96,856
97,58
98,85
99,352
99,879
100,343
101,0
101,856
102,710
102,343
103,1
103,856
123,723
123,120
124,367
125,620
128,820
129,128
129,821
130,128
130,821
134,762
136,865
137,607
137,818
138,182
142,811
144,147
145,864
146,134
149,108
150,108
152,812
153,777
156,867
158,139
160,763
161,367
163,794
164,46
166,1699
167,867
168,777
170,822
171,629
172,765
180,827
180,707
181,812
182,791
184,18
184,365
186,366
186,812
187,762
189,46
190,765
192,821
193,1695
194,710
194,124
194,758
196,147
197,137
200,602
201,812
202,865
203,134
205,820
206,147
207,10
209,902
211,865
212,794
213,245
217,517
217,627
220,792
222,822
224,21
224,790
225,108
227,210
228,792
230,369
230,821
231,46
231,765
232,109
232,792
234,46
236,812
238,791
238,367
242,139
244,701
244,108
247,46
248,794
250,3
251,628
253,136
254,629
254,42
254,821
256,810
259,108
260,147
262,147
263,866
265,123
265,749
269,763
270,865
271,3
272,144
272,867
273,313
274,21
274,790
275,827
275,707
280,475
285,710
285,124
285,758
