outfit_id,category,link,color_chip_id
1,0,http://www.uniqlo.com/tw/store/goods/406535,47
1,-1,http://www.uniqlo.com/tw/store/goods/405412,00
2,0,http://www.uniqlo.com/tw/store/goods/409471,55
2,-1,http://www.uniqlo.com/tw/store/goods/405412,00
3,0,http://www.uniqlo.com/tw/store/goods/405948,35
3,1,http://www.uniqlo.com/tw/store/goods/404002,32
4,-1,http://www.uniqlo.com/tw/store/goods/407595,00
5,0,http://www.uniqlo.com/tw/store/goods/405947,68
5,-1,http://www.uniqlo.com/tw/store/goods/407592,00
6,0,http://www.uniqlo.com/tw/store/goods/406534,30
6,0,http://www.uniqlo.com/tw/store/goods/405941,32
6,-1,http://www.uniqlo.com/tw/store/goods/407592,00
7,0,http://www.uniqlo.com/tw/store/goods/401449,69
7,0,http://www.uniqlo.com/tw/store/goods/400502,16
10,1,http://www.uniqlo.com/tw/store/goods/403996,69
10,-1,http://www.uniqlo.com/tw/store/goods/409772,68
10,-1,http://www.uniqlo.com/tw/store/goods/404872,09
11,0,http://www.uniqlo.com/tw/store/goods/401449,69
11,0,http://www.uniqlo.com/tw/store/goods/400502,16
13,1,http://www.uniqlo.com/tw/store/goods/404214,45
14,0,http://www.uniqlo.com/tw/store/goods/400335,00
15,1,http://www.uniqlo.com/tw/store/goods/403971,57
15,0,http://www.uniqlo.com/tw/store/goods/404354,69
16,0,http://www.uniqlo.com/tw/store/goods/404163,13
16,0,http://www.uniqlo.com/tw/store/goods/406147,00
18,0,http://www.uniqlo.com/tw/store/goods/404354,69
19,0,http://www.uniqlo.com/tw/store/goods/406483,69
20,0,http://www.uniqlo.com/tw/store/goods/404167,67
20,0,http://www.uniqlo.com/tw/store/goods/400500,69
20,0,http://www.uniqlo.com/tw/store/goods/400328,69
20,-1,http://www.uniqlo.com/tw/store/goods/404888,58
21,0,http://www.uniqlo.com/tw/store/goods/407638,08
21,1,http://www.uniqlo.com/tw/store/goods/406707,08
21,-1,http://www.uniqlo.com/tw/store/goods/404889,69
22,0,http://www.uniqlo.com/tw/store/goods/404361,24
23,0,http://www.uniqlo.com/tw/store/goods/407638,03
23,1,http://www.uniqlo.com/tw/store/goods/406707,03
24,0,http://www.uniqlo.com/tw/store/goods/400518,69
24,0,http://www.uniqlo.com/tw/store/goods/400335,00
25,0,http://www.uniqlo.com/tw/store/goods/407638,03
25,1,http://www.uniqlo.com/tw/store/goods/406707,03
25,-1,http://www.uniqlo.com/tw/store/goods/404907,09
25,-1,http://www.uniqlo.com/tw/store/goods/404889,09
27,0,http://www.uniqlo.com/tw/store/goods/406483,69
27,1,http://www.uniqlo.com/tw/store/goods/401165,32
28,1,http://www.uniqlo.com/tw/store/goods/403996,69
28,-1,http://www.uniqlo.com/tw/store/goods/407545,09
29,0,http://www.uniqlo.com/tw/store/goods/404167,00
29,0,http://www.uniqlo.com/tw/store/goods/406148,00
30,0,http://www.uniqlo.com/tw/store/goods/405408,05
30,-1,http://www.uniqlo.com/tw/store/goods/404877,62
31,0,http://www.uniqlo.com/tw/store/goods/404361,24
32,0,http://www.uniqlo.com/tw/store/goods/400335,00
33,0,http://www.uniqlo.com/tw/store/goods/404361,52
33,1,http://www.uniqlo.com/tw/store/goods/405637,56
35,0,http://www.uniqlo.com/tw/store/goods/404354,69
36,0,http://www.uniqlo.com/tw/store/goods/405194,32
36,0,http://www.uniqlo.com/tw/store/goods/404169,00
36,0,http://www.uniqlo.com/tw/store/goods/408273,69
36,1,http://www.uniqlo.com/tw/store/goods/407033,32
37,0,http://www.uniqlo.com/tw/store/goods/407771,03
37,1,http://www.uniqlo.com/tw/store/goods/403993,56
38,-1,http://www.uniqlo.com/tw/store/goods/404876,53
39,0,http://www.uniqlo.com/tw/store/goods/404167,17
39,1,http://www.uniqlo.com/tw/store/goods/406707,03
40,0,http://www.uniqlo.com/tw/store/goods/404354,69
40,0,http://www.uniqlo.com/tw/store/goods/404382,63
41,0,http://www.uniqlo.com/tw/store/goods/406148,00
43,-1,http://www.uniqlo.com/tw/store/goods/404872,09
44,0,http://www.uniqlo.com/tw/store/goods/400511,34
45,0,http://www.uniqlo.com/tw/store/goods/404167,67
45,1,http://www.uniqlo.com/tw/store/goods/407280,62
46,1,http://www.uniqlo.com/tw/store/goods/403971,00
46,0,http://www.uniqlo.com/tw/store/goods/404164,03
46,-1,http://www.uniqlo.com/tw/store/goods/404888,58
47,0,http://www.uniqlo.com/tw/store/goods/404169,00
47,0,http://www.uniqlo.com/tw/store/goods/408273,69
47,1,http://www.uniqlo.com/tw/store/goods/407033,32
48,0,http://www.uniqlo.com/tw/store/goods/404167,67
48,1,http://www.uniqlo.com/tw/store/goods/407280,62
49,0,http://www.uniqlo.com/tw/store/goods/404164,02
49,1,http://www.uniqlo.com/tw/store/goods/403971,57
50,0,http://www.uniqlo.com/tw/store/goods/404136,58
51,0,http://www.uniqlo.com/tw/store/goods/404362,03
51,1,http://www.uniqlo.com/tw/store/goods/405637,56
52,0,http://www.uniqlo.com/tw/store/goods/404361,57
52,-1,http://www.uniqlo.com/tw/store/goods/404888,16
54,0,http://www.uniqlo.com/tw/store/goods/407638,08
54,1,http://www.uniqlo.com/tw/store/goods/406707,08
54,-1,http://www.uniqlo.com/tw/store/goods/404889,69
55,0,http://www.uniqlo.com/tw/store/goods/404167,03
56,0,http://www.uniqlo.com/tw/store/goods/406483,69
57,0,http://www.uniqlo.com/tw/store/goods/406147,00
58,0,http://www.uniqlo.com/tw/store/goods/404359,09
58,-1,http://www.uniqlo.com/tw/store/goods/404907,09
59,0,http://www.uniqlo.com/tw/store/goods/403675,66
59,-1,http://www.uniqlo.com/tw/store/goods/404878,62
61,0,http://www.uniqlo.com/tw/store/goods/404356,69
61,-1,http://www.uniqlo.com/tw/store/goods/404914,69
62,0,http://www.uniqlo.com/tw/store/goods/404410,42
63,0,http://www.uniqlo.com/tw/store/goods/405194,69
63,1,http://www.uniqlo.com/tw/store/goods/407033,69
64,1,http://www.uniqlo.com/tw/store/goods/406708,03
64,-1,http://www.uniqlo.com/tw/store/goods/404872,09
66,0,http://www.uniqlo.com/tw/store/goods/404362,09
66,-1,http://www.uniqlo.com/tw/store/goods/405413,09
67,0,http://www.uniqlo.com/tw/store/goods/404167,00
67,-1,http://www.uniqlo.com/tw/store/goods/406045,09
68,0,http://www.uniqlo.com/tw/store/goods/404164,12
68,1,http://www.uniqlo.com/tw/store/goods/405637,69
70,0,http://www.uniqlo.com/tw/store/goods/400501,58
70,0,http://www.uniqlo.com/tw/store/goods/405194,69
70,1,http://www.uniqlo.com/tw/store/goods/407033,69
71,0,http://www.uniqlo.com/tw/store/goods/407638,03
71,0,http://www.uniqlo.com/tw/store/goods/400500,69
71,1,http://www.uniqlo.com/tw/store/goods/406707,03
71,-1,http://www.uniqlo.com/tw/store/goods/404889,09
72,0,http://www.uniqlo.com/tw/store/goods/404354,05
72,1,http://www.uniqlo.com/tw/store/goods/403996,69
72,-1,http://www.uniqlo.com/tw/store/goods/407545,09
72,-1,http://www.uniqlo.com/tw/store/goods/404889,69
73,0,http://www.uniqlo.com/tw/store/goods/404164,12
73,1,http://www.uniqlo.com/tw/store/goods/405637,69
73,-1,http://www.uniqlo.com/tw/store/goods/404876,69
74,0,http://www.uniqlo.com/tw/store/goods/404363,33
75,0,http://www.uniqlo.com/tw/store/goods/404354,69
75,1,http://www.uniqlo.com/tw/store/goods/407033,69
75,-1,http://www.uniqlo.com/tw/store/goods/404907,09
76,0,http://www.uniqlo.com/tw/store/goods/406805,68
77,0,http://www.uniqlo.com/tw/store/goods/404165,03
77,-1,http://www.uniqlo.com/tw/store/goods/404888,16
79,0,http://www.uniqlo.com/tw/store/goods/406147,00
80,0,http://www.uniqlo.com/tw/store/goods/404362,09
