product_id,rgb hex,ryb hex,percentage of clothes,hue_level
1,#E9E9E9,#e9e9e9,100.0,13
2,#D5D5D5,#d5d5d5,100.0,13
3,#FACECB,#facecb,97.1,1
4,#A9D8ED,#a9c4ed,70.2,9
5,#8C9EDA,#8c9ada,100.0,10
6,#303644,#303444,87.6,10
7,#F3EFEF,#f3efef,60.7,13
8,#F8CFD8,#f8cfd8,100.0,1
9,#C9CBEE,#c9caee,100.0,10
10,#353440,#353440,100.0,10
11,#F2F2F2,#f2f2f2,95.9,13
12,#929AD8,#9299d8,100.0,10
13,#EFEEEC,#edefec,95.7,13
14,#2F3241,#2f3141,67.1,10
15,#ECEDE8,#e8ede9,82.6,13
16,#313448,#313348,95.7,10
17,#B25B59,#b25b59,16.1,1
18,#E3E2E5,#e3e2e5,36.2,13
19,#EFD9DC,#efd9dc,51.2,1
20,#5E73BD,#5e6fbd,49.6,10
21,#6C87DB,#6c81db,72.7,10
22,#D0DFFD,#d0dbfd,100.0,10
23,#C8C4C2,#c8c5c2,83.5,14
24,#6680BF,#667abf,53.3,10
25,#86848F,#86848f,37.0,11
26,#CAB4D5,#cab4d5,47.1,11
27,#B2C2DB,#b2bddb,56.4,9
28,#797B8A,#797a8a,49.2,10
29,#6B6C7F,#6b6b7f,43.8,10
30,#B2B8D2,#b2b7d2,47.9,10
31,#D7D9E5,#d7d8e5,56.6,13
32,#D5DCF1,#d5daf1,88.0,10
33,#7F334D,#7f334d,14.0,1
34,#757681,#757581,23.3,10
35,#F2F3F2,#f2f3f3,42.4,13
36,#414762,#414662,65.9,10
37,#6E88C5,#6e82c5,52.7,10
38,#BA8480,#ba8480,13.4,1
39,#C2C2D3,#c2c2d3,63.2,13
40,#87838F,#87838f,18.8,11
41,#6D6D70,#6d6d70,80.0,14
42,#868789,#868689,33.3,14
43,#595C72,#595b72,39.9,10
44,#626372,#626272,25.6,10
45,#4B4E6E,#4b4d6e,62.6,10
46,#C9C8CC,#c9c8cc,56.0,13
47,#393B6E,#393a6e,18.4,10
48,#E0E0E0,#e0e0e0,36.6,13
49,#323A5F,#32385f,84.9,10
50,#EFDDDC,#efdddc,57.4,13
51,#EAEAE8,#e8eae8,56.2,13
52,#B6C3D9,#b6bfd9,65.5,9
53,#DFE1E7,#dfe0e7,40.3,13
54,#BDD3ED,#bdcced,92.1,9
55,#EFEDEC,#efedec,65.5,13
56,#D7D4D7,#d7d4d7,58.7,13
57,#8C878C,#8c878c,47.5,14
58,#F8CDDE,#f8cdde,100.0,1
59,#B8A697,#b8b297,97.3,3
60,#FCF2CA,#d6fcca,80.4,4
61,#C5DFE5,#c5d3e5,100.0,9
62,#69674D,#4f694d,54.5,5
63,#C9DBF4,#c9d5f4,93.4,9
64,#98D4F2,#98bcf2,100.0,9
65,#5F6A94,#5f6894,92.4,10
66,#3C5A8D,#3c518d,98.6,9
67,#2D2E39,#2d2d39,70.7,10
68,#E0CAF1,#e0caf1,100.0,11
69,#BCC2D5,#bcc0d5,93.8,10
70,#DACDE3,#dacde3,100.0,11
71,#DED9D8,#ded9d8,99.8,13
72,#7B8593,#7b8293,28.7,9
73,#EDECEA,#ebedea,83.9,13
74,#F2B6A4,#f2bba4,100.0,2
75,#D7C4AE,#d1d7ae,91.1,3
76,#98AFBD,#98a6bd,69.0,9
77,#797D93,#797c93,49.8,10
78,#5C6188,#5c6088,100.0,10
79,#282E3A,#282c3a,69.0,10
80,#797480,#797480,24.8,11
81,#6A6B7B,#6a6a7b,57.4,10
82,#BEBBBA,#bebbba,46.7,14
83,#B96F7B,#b96f7b,38.4,1
84,#849CCE,#8496ce,49.6,10
85,#919486,#869489,43.2,5
86,#7D716B,#7d746b,25.6,2
87,#F3F1ED,#f0f3ed,63.0,13
88,#D8D3D0,#d8d4d0,100.0,13
89,#C98895,#c98895,90.3,1
90,#BCCFE9,#bcc9e9,96.3,9
91,#8784A3,#8784a3,56.4,10
92,#31323A,#31313a,98.3,10
93,#E9E9E7,#e7e9e7,67.8,13
94,#DDD2C3,#d6ddc3,100.0,3
95,#918671,#819171,90.9,3
96,#C1D9F8,#c1d1f8,98.6,9
97,#6A7BA0,#6a76a0,45.9,10
98,#222833,#222633,81.6,15
99,#98A09B,#989da0,40.7,14
100,#E1B4B1,#e1b4b1,100.0,1
101,#DCCFB5,#c8dcb5,100.0,3
102,#325178,#324778,95.5,9
103,#2A303E,#2a2e3e,100.0,10
104,#F2F2F5,#f2f2f5,74.2,13
105,#CECDD0,#cecdd0,48.6,13
106,#FBE4E9,#fbe4e9,100.0,1
107,#BECEEE,#becaee,100.0,10
108,#2C3243,#2c3043,100.0,10
109,#E6E6E6,#e6e6e6,69.2,13
110,#DAD9D9,#dad9d9,85.7,13
111,#F9DFEA,#f9dfea,100.0,1
112,#D9D9EC,#d9d9ec,100.0,13
113,#323B51,#323851,96.7,10
114,#E8E9E5,#e5e9e6,87.6,13
115,#E9E9EC,#e9e9ec,46.5,13
116,#EED9DF,#eed9df,100.0,1
117,#C6E5E3,#c6d6e5,100.0,8
118,#B0BCD6,#b0b9d6,100.0,10
119,#52516B,#52516b,71.5,10
120,#292D3C,#292c3c,95.7,10
121,#BFCBD9,#bfc7d9,52.5,9
122,#6E788A,#6e758a,47.5,9
123,#A59F9E,#a59f9e,74.6,14
124,#B8CCE3,#b8c5e3,71.9,9
125,#4E5C82,#4e5982,100.0,10
126,#495473,#495173,90.9,10
127,#383746,#383746,49.8,10
128,#88818C,#88818c,93.0,11
129,#252B50,#252a50,70.9,10
130,#686D79,#686b79,80.2,10
131,#24436A,#24396a,91.9,9
132,#1F2D4C,#1f294c,94.6,10
133,#70737A,#70727a,19.4,10
134,#2D3049,#2d2f49,58.9,10
135,#9C1D33,#9c1d33,31.6,1
136,#7B6546,#6b7b46,47.3,3
137,#303347,#303247,64.0,10
138,#2B2A2E,#2b2a2e,81.6,15
139,#7B7664,#6a7b64,40.9,4
140,#383C58,#383b58,35.5,10
141,#64646D,#64646d,56.4,10
142,#813548,#813548,54.1,1
143,#847457,#6f8457,61.0,3
144,#556985,#556385,57.9,9
145,#323B34,#32393b,19.8,7
146,#5D5E71,#5d5d71,35.7,10
147,#6A6B74,#6a6a74,69.4,10
148,#B5B3B8,#b5b3b8,62.8,14
149,#353349,#353349,99.8,10
150,#EDEDE2,#e2ede2,78.9,13
151,#2B2B2B,#2b2b2b,100.0,15
152,#E19414,#8fe114,100.0,3
153,#757750,#507752,95.0,5
154,#253E42,#253242,100.0,9
155,#C1C9CB,#c1c5cb,58.1,14
156,#C0C4B6,#b6c4ba,81.0,5
157,#ECEBE9,#eaece9,42.1,13
158,#36394F,#36384f,76.4,10
159,#F6F6F3,#f3f6f3,82.9,13
160,#32354C,#32344c,97.3,10
161,#2D282F,#2d282f,45.7,15
162,#814145,#814145,33.1,1
163,#4D5B7B,#4d577b,38.0,10
164,#BC857E,#bc857e,7.4,1
165,#D3D5DC,#d3d4dc,67.4,13
166,#4F4B52,#4f4b52,51.0,11
167,#2C2E49,#2c2d49,79.3,10
168,#BE8974,#be9174,49.4,2
169,#ECECE2,#e2ece2,99.8,13
170,#9C4D2F,#9c582f,100.0,2
171,#797D4A,#4a7d4e,100.0,5
172,#25353A,#252e3a,100.0,9
173,#D2C6B6,#cbd2b6,100.0,3
174,#D3D5D2,#d2d5d4,94.2,13
175,#F1EEEB,#f1f1eb,91.5,13
176,#B95A46,#b95e46,79.3,2
177,#C2AC8E,#b4c28e,77.3,3
178,#80856C,#6c8571,96.3,5
179,#567BA1,#566ea1,56.2,9
180,#32353F,#32343f,76.7,10
181,#ECECED,#ececed,47.1,13
182,#FDDFE6,#fddfe6,100.0,1
183,#CCD4E8,#ccd2e8,100.0,10
184,#D8D6DB,#d8d6db,99.0,13
185,#EEDCE3,#eedce3,87.2,13
186,#D5D8E5,#d5d7e5,100.0,13
187,#CBCAD0,#cbcad0,100.0,13
188,#F1D1DC,#f1d1dc,100.0,1
189,#B8C7DF,#b8c2df,100.0,9
190,#E8E8EB,#e8e8eb,70.0,13
191,#FDDEE3,#fddee3,100.0,1
192,#C8D6F0,#c8d2f0,100.0,10
193,#D9D6DD,#d9d6dd,100.0,13
194,#EBD9E4,#ebd9e4,57.4,13
195,#CDCDDB,#cdcddb,100.0,13
196,#CECED0,#ceced0,83.3,13
197,#F4D7E1,#f4d7e1,100.0,1
198,#B9C8E2,#b9c3e2,100.0,9
199,#D1D0D5,#d1d0d5,100.0,13
200,#F6D6E2,#f6d6e2,100.0,1
201,#BAC7E3,#bac3e3,100.0,10
202,#ECD8E5,#ecd8e5,98.8,12
203,#E7E6E5,#e7e7e5,67.1,13
204,#31393C,#31353c,96.1,9
205,#EAEAEA,#eaeaea,95.0,13
206,#C6D6EF,#c6d1ef,100.0,9
207,#F1F1F0,#f0f1f0,46.3,13
208,#29292B,#29292b,100.0,15
209,#DBE3F7,#dbe1f7,100.0,10
210,#B5CBE4,#b5c3e4,72.3,9
211,#E6E6E6,#e6e6e6,59.7,13
212,#DDDCE2,#dddce2,100.0,13
213,#FAE0EA,#fae0ea,83.5,1
214,#CCD8FA,#ccd5fa,100.0,10
215,#A1AEDD,#a1abdd,69.4,10
216,#E8E8E8,#e8e8e8,99.4,13
217,#D2D1D7,#d2d1d7,100.0,13
218,#C2D0ED,#c2cced,100.0,10
219,#9EA9D8,#9ea7d8,71.3,10
220,#EDEEEC,#eceeed,78.7,13
221,#CACAD2,#cacad2,100.0,13
222,#BBCDED,#bbc8ed,100.0,9
223,#94A8DC,#94a3dc,100.0,10
224,#E8E8EA,#e8e8ea,39.9,13
225,#DAE9FA,#dae4fa,61.4,9
226,#F9DFE8,#f9dfe8,97.1,1
227,#CED2E8,#ced1e8,100.0,10
228,#E9E8E8,#e9e8e8,49.0,13
229,#D5E1F1,#d5ddf1,78.3,9
230,#E4E4E4,#e4e4e4,54.5,13
231,#CDCFF0,#cdcef0,100.0,10
232,#E8E8E8,#e8e8e8,100.0,13
233,#9DAEDD,#9daadd,60.7,10
234,#CDCCD4,#cdccd4,100.0,13
235,#9CB0E4,#9cabe4,100.0,10
236,#E6E6E6,#e6e6e6,64.5,13
237,#CED6EC,#ced4ec,100.0,10
238,#ADC6F5,#adbff5,40.9,10
239,#DFD9EF,#dfd9ef,100.0,11
240,#E8E7E6,#e8e8e6,54.3,13
241,#E1E2F0,#e1e1f0,100.0,13
242,#EEEFF3,#eeeef3,61.2,13
243,#E7E6EB,#e7e6eb,84.9,13
244,#858BCA,#858aca,72.5,10
245,#EEEDF0,#eeedf0,57.4,13
246,#E2E1E7,#e2e1e7,45.7,13
247,#CBCADD,#cbcadd,45.7,10
248,#EAEBEE,#eaeaee,34.7,13
249,#DCDFEA,#dcdeea,79.8,13
250,#DDDFE8,#dddee8,76.9,13
251,#E1E0E8,#e1e0e8,99.4,13
252,#CACAD2,#cacad2,74.8,13
253,#E3E2EA,#e3e2ea,100.0,13
254,#CAC9CF,#cac9cf,30.0,13
255,#F4F2F3,#f4f2f3,65.1,13
256,#343335,#343335,50.2,14
257,#BFCDFB,#bfcafb,94.4,10
258,#41475A,#41455a,77.3,10
259,#F7F5F6,#f7f5f6,65.1,13
260,#383636,#383636,63.4,14
261,#C0D0FC,#c0ccfc,94.2,10
262,#42485B,#42465b,88.8,10
263,#E4E4E4,#e4e4e4,52.9,13
264,#E0E2F1,#e0e1f1,100.0,13
265,#8589CC,#8588cc,56.4,10
266,#ECDDEE,#ecddee,52.3,13
267,#EDEEEE,#ededee,64.9,13
268,#DDE0F0,#dddff0,100.0,13
269,#8789CC,#8788cc,57.2,10
270,#D6C4E9,#d6c4e9,97.5,11
271,#E9EAE4,#e4eae5,99.2,13
272,#CEDAEB,#ced6eb,100.0,9
273,#8EA0D5,#8e9cd5,92.8,10
274,#7B93CD,#7b8dcd,64.5,10
275,#EAEAEB,#eaeaeb,47.7,13
276,#D4E0F0,#d4dcf0,86.0,9
277,#F0EBE8,#f0ece8,95.5,13
278,#D8DEEC,#d8dcec,100.0,10
279,#EBEAE8,#e9ebe8,97.9,13
280,#BCCCE2,#bcc7e2,100.0,9
281,#7581BF,#757fbf,24.8,10
282,#E7E2EF,#e7e2ef,90.9,13
283,#E5E3E2,#e5e3e2,52.9,13
284,#DCDDE2,#dcdce2,69.6,13
285,#D6D9E0,#d6d8e0,41.3,13
286,#E5E6E7,#e5e5e7,21.7,13
287,#E5E6E7,#e5e5e7,35.7,13
288,#8CA5D5,#8c9ed5,36.2,10
289,#DFDFE5,#dfdfe5,40.5,13
290,#E8E7EB,#e8e7eb,80.8,13
291,#7C87C6,#7c85c6,59.5,10
292,#B9CCE9,#b9c6e9,76.7,9
293,#CACDDF,#caccdf,78.5,10
294,#ABB1C3,#abafc3,56.6,10
295,#D4D4D2,#d2d4d2,46.3,13
296,#CED2DC,#ced1dc,100.0,13
297,#C5C8DD,#c5c7dd,85.1,10
298,#ADB0BA,#adafba,78.9,14
299,#DBDADF,#dbdadf,84.3,13
300,#D0D5E7,#d0d4e7,66.5,10
301,#E0E7E9,#e0e3e9,57.9,13
302,#DBD7E7,#dbd7e7,71.9,13
303,#DFDFE1,#dfdfe1,65.3,13
304,#D3DAE9,#d3d8e9,97.7,10
305,#D4D2DC,#d4d2dc,34.5,13
306,#585C87,#585b87,7.2,10
307,#807C87,#807c87,21.5,11
308,#BCA4BD,#bca4bd,100.0,12
309,#EAE9E8,#eaeae8,49.6,13
310,#C9C9C9,#c9c9c9,58.7,14
311,#F6DFE5,#f6dfe5,89.5,1
312,#C7CCDE,#c7cbde,97.1,10
313,#343744,#343644,78.5,10
314,#E9E9E9,#e9e9e9,74.4,13
315,#BBBBBD,#bbbbbd,38.0,14
316,#F4D9E3,#f4d9e3,100.0,1
317,#D6D6E8,#d6d6e8,100.0,13
318,#33343F,#33333f,80.0,10
319,#ECEBEA,#ececea,69.2,13
320,#E0DFDF,#e0dfdf,49.0,13
321,#FAE5EE,#fae5ee,83.5,1
322,#C6CDF0,#c6ccf0,100.0,10
323,#2A2C3B,#2a2b3b,100.0,10
324,#F3F3F8,#f3f3f8,62.2,13
325,#EEF0F6,#eeeff6,78.9,13
326,#FADFEA,#fadfea,57.2,1
327,#D7E2F6,#d7dff6,100.0,9
328,#F1F1EE,#eef1ee,49.4,13
329,#D1D9EC,#d1d7ec,100.0,10
330,#EEECEB,#eeeceb,70.5,13
331,#C6D9F7,#c6d3f7,98.6,9
332,#D5DDF0,#d5dbf0,97.9,10
333,#E7D6E6,#e7d6e6,98.8,13
334,#CFD7EA,#cfd5ea,91.5,10
335,#CEC3E3,#cec3e3,80.0,11
336,#D6CFCD,#d6cfcd,98.3,13
337,#807C8C,#807c8c,33.1,11
338,#EDEDF1,#ededf1,76.4,13
339,#E8EBF3,#e8eaf3,93.4,13
340,#98ABDC,#98a6dc,16.5,10
341,#DDD0EB,#ddd0eb,54.5,11
342,#E7E7EC,#e7e7ec,59.1,13
343,#E8E7EE,#e8e7ee,84.5,13
344,#EFF0EB,#ebf0ec,82.4,13
345,#BEC0BB,#bbc0bd,96.9,14
346,#444C4D,#44484d,91.9,8
347,#211F20,#211f20,100.0,15
348,#8B1428,#8b1428,100.0,1
349,#572434,#572434,87.8,1
350,#AD4320,#ad4e20,84.5,2
351,#E7CC7C,#a0e77c,100.0,4
352,#7B846C,#6c8475,95.5,6
353,#444B3B,#3b4b42,100.0,6
354,#A5BECB,#a5b4cb,100.0,9
355,#273244,#272e44,100.0,9
356,#EE4413,#ee5213,100.0,2
357,#C7E164,#64e17e,100.0,5
358,#028CC0,#0251c0,100.0,9
359,#EEEEEC,#eceeec,82.6,13
360,#393939,#393939,98.1,14
361,#252527,#252527,100.0,15
362,#C31731,#c31731,100.0,1
363,#FC7410,#fcbd10,100.0,2
364,#018566,#014b85,100.0,8
365,#2A2937,#2a2937,88.8,10
366,#F2F2F0,#f0f2f0,69.8,13
367,#BEC0B9,#b9c0bb,94.8,14
368,#363633,#333633,100.0,14
369,#254163,#253863,100.0,9
370,#2E2E3A,#2e2e3a,64.7,10
371,#ECEDE9,#e9edea,94.6,13
372,#B7C0B7,#b7c0c0,98.6,14
373,#A7A8A3,#a3a8a4,80.6,14
374,#3C4444,#3c4044,99.8,8
375,#242420,#202420,100.0,15
376,#F67274,#f67274,100.0,1
377,#CAC3B0,#b9cab0,97.9,4
378,#C19D62,#9bc162,100.0,3
379,#547270,#546372,99.8,8
380,#62919D,#627c9d,75.8,9
381,#232D3D,#232a3d,97.5,9
382,#EAEAE6,#e6eae6,50.8,13
383,#AFB5AE,#aeb5b4,62.0,14
384,#3D3F39,#393f3b,93.0,6
385,#272726,#262726,61.8,15
386,#392827,#392827,100.0,1
387,#837C70,#7b8370,91.5,3
388,#434E40,#404e4b,97.9,6
389,#272731,#272731,85.3,15
390,#F1F1F1,#f1f1f1,93.8,13
391,#CCCECD,#cccdce,82.2,13
392,#3F3F41,#3f3f41,69.6,14
393,#25262B,#25252b,100.0,15
394,#E1CCAD,#d0e1ad,99.6,3
395,#3E4A3F,#3e494a,100.0,7
396,#BFCDD6,#bfc7d6,100.0,9
397,#292C3C,#292b3c,100.0,10
398,#24262B,#24252b,100.0,15
399,#282C40,#282b40,100.0,10
400,#E6E7E1,#e1e7e2,97.7,13
401,#BBBCB6,#b6bcb7,96.9,14
402,#4B514F,#4b4e51,53.5,8
403,#242424,#242424,100.0,15
404,#721E2E,#721e2e,55.0,1
405,#5E623F,#3f6243,83.1,5
406,#2E5274,#2e4574,64.3,9
407,#202631,#202431,100.0,15
408,#ECEBE7,#e8ece7,100.0,13
409,#C0C2BC,#bcc2be,99.8,14
410,#47484A,#47474a,61.4,14
411,#E0E2DC,#dce2de,96.3,13
412,#303534,#303235,86.0,8
413,#393E4A,#393c4a,44.4,10
414,#E9EAE5,#e5eae6,99.4,13
415,#848D8A,#84898d,63.0,14
416,#3A4042,#3a3d42,100.0,9
417,#2E2F35,#2e2e35,56.6,10
418,#ED6460,#ed6460,100.0,1
419,#D7E25C,#5ce267,100.0,5
420,#2F4769,#2f3f69,100.0,9
421,#E4E5E2,#e2e5e3,68.6,13
422,#232428,#232328,92.8,15
423,#DB1D24,#db1d24,100.0,1
424,#517564,#516875,94.6,7
425,#EBECE6,#e6ece7,99.2,13
426,#7A827C,#7a8082,94.8,14
427,#202020,#202020,100.0,15
428,#49759D,#49659d,65.3,9
429,#232A36,#232836,100.0,9
430,#F1F1ED,#edf1ed,94.6,13
431,#8A918B,#8a9091,95.5,14
432,#29292B,#29292b,100.0,15
433,#C22D2E,#c22d2e,100.0,1
434,#F4741B,#f4b11b,100.0,2
435,#919D3C,#3c9d48,100.0,5
436,#666F82,#666c82,61.2,10
437,#2A3550,#2a3250,97.5,10
438,#EBE7DD,#e2ebdd,90.3,13
439,#2F363A,#2f333a,98.6,9
440,#3D412B,#2b412f,67.8,5
441,#221F26,#221f26,100.0,15
442,#262A47,#262947,100.0,10
443,#413F44,#413f44,97.5,11
444,#282A43,#282943,100.0,10
445,#DEE1DE,#dee1e1,49.8,13
446,#222026,#222026,61.6,15
447,#BD2422,#bd2422,68.6,1
448,#115B8F,#113f8f,22.3,9
449,#E1E3DF,#dfe3e1,95.9,13
450,#2B3236,#2b2f36,94.4,9
451,#5B6D54,#546d66,85.5,6
452,#2D5479,#2d4679,88.6,9
453,#EEF0EB,#ebf0ed,85.5,13
454,#949C97,#94999c,67.4,14
455,#28282A,#28282a,100.0,15
456,#B62F2B,#b62f2b,95.5,1
457,#5B5835,#385b35,87.0,5
458,#3E6FB0,#3e60b0,80.8,9
459,#283650,#283250,100.0,10
460,#1E3959,#1e3059,37.2,9
461,#902736,#902736,81.8,1
462,#D4D5D9,#d4d4d9,100.0,13
463,#36364C,#36364c,49.0,10
464,#8D928A,#8a928f,97.9,14
465,#273942,#273142,19.4,9
466,#606E55,#556e63,75.0,6
467,#6D7476,#6d7076,91.1,9
468,#343B3F,#34383f,97.7,9
469,#252529,#252529,67.6,15
470,#284160,#283960,76.9,9
471,#8A938D,#8a9093,95.0,14
472,#1E2120,#1e1f21,44.2,15
473,#223752,#223052,52.5,9
474,#BDBAB1,#b5bdb1,53.9,14
475,#293036,#292d36,55.4,9
476,#1C222E,#1c202e,92.6,15
477,#8C9491,#8c9094,54.3,14
478,#393331,#393331,100.0,2
479,#26293D,#26283d,100.0,10
480,#889094,#888c94,80.0,9
481,#242640,#242540,100.0,10
482,#252427,#252427,94.8,15
483,#EFEFE4,#e4efe4,100.0,13
484,#C2C1BC,#bdc2bc,95.5,14
485,#204B6B,#203b6b,99.4,9
486,#252838,#252738,100.0,10
487,#E9E5E0,#e7e9e0,99.2,13
488,#60715D,#5d716e,100.0,6
489,#222B3C,#22283c,100.0,10
490,#EAE9E5,#e6eae5,99.2,13
491,#979E9F,#979a9f,72.5,14
492,#A79375,#96a775,62.2,3
493,#242D3E,#242a3e,100.0,10
494,#C0C1BC,#bcc1bd,91.1,14
495,#DDDFDA,#dadfdc,33.1,13
496,#C27471,#c27471,41.3,1
497,#5E8AA8,#5e79a8,31.8,9
498,#253A4C,#25324c,33.5,9
499,#DEDBD4,#d8ded4,33.1,13
500,#347267,#345672,46.7,8
501,#2F4D70,#2f4370,63.6,9
502,#E9EBE9,#e9ebeb,29.8,13
503,#C3CAC2,#c2cac9,91.5,14
504,#8D2231,#8d2231,61.8,1
505,#232B3C,#23293c,72.7,10
506,#E6E7E2,#e2e7e3,47.5,13
507,#C0BFB9,#bac0b9,54.3,14
508,#282B42,#282a42,72.7,10
509,#E9EAE5,#e5eae6,99.2,13
